BBL,BldgClass,LotArea,BldgArea,HistDist,Landmark,OwnerName
1000630016,D7,1942,9106,,,"R.A.S.,    ."
1000630017,K4,2589,17629,,,181 BWAY ASSOC
1000630018,K2,2520,13820,,,"LRC-179 BROADWAY, LLC"
1000630019,K2,2486,14100,,,175-177 BROADWAY LLC
1000630020,K2,2440,11859,,,175-177 BROADWAY LLC
1000630021,K2,2132,5000,,,BROADWAY&CORTLANDT RL
1000640001,H2,2688,42012,,,MAIDEN HOTEL LLC
1000640002,K1,531,531,,,22 MAIDEN LANE LLC
1000640004,K4,971,4579,,,MAZEL 24 LLC
1000640005,S3,915,4134,,,53 NASSAU COMMONS LLC
1000640007,O9,1425,6400,,,TRUDEL FOOD STORES IN
1000640008,D4,5198,167448,,LIBERTY TOWER,55 LIBERTY OWNERS COR
1000640009,O9,7878,30681,,CHAMBER OF COMMERCE OF STATE OF NY,MEGA INTERNATIONAL CO
1000640012,O3,13133,279669,,,BAILEY N.Y. ASSOCIATE
1000640015,O3,13802,150000,,,DAROR ASSOCIATES
1000640016,H2,9136,22057,,,170 BROADWAY NYC LP
1000640020,K9,1860,6814,,,"10-12 MLANE, LLC"
1000640021,K9,3241,13709,,,"10-12 MLANE, LLC"
1000640023,D7,1512,14645,,,14 MAIDEN LLC
1000640024,S4,1013,4420,,,MAIDEN LANE COMMONS L
1000640025,S4,1013,5065,,,LIBERTY PLACE COMMONS
1000640106,V1,66,0,,,NEW YORK CITY TRANSIT
1000647501,RM,2102,19995,,,
1000650002,K9,1065,4905,,63 NASSAU ST BLDG,APPLE AT NASSAU LLC
1000650004,K2,3370,10083,,,"59 NASSAU STREET, LLC"
1000650006,D6,4231,37800,,,YJL HOLDINGS LLC
1000650007,O3,9066,124910,,,15 MAIDEN LANE LLC
1000650010,D5,4792,58354,,,PHOENIX EQUITY VENTUR
1000650016,O3,1288,15081,,,ONE MAIDEN LANE REALT
1000650017,D4,11960,168176,,,176 BROADWAY OWNERS C
1000650020,D6,2994,31118,,,"CONDOR FUNDING,"
1000650022,S3,1607,5460,,,JOHN STREET COMMONS L
1000650024,H2,3325,52486,,,WESTBURY REALTY ASSOC
1000657501,RM,3359,32342,,,65 NASSAU OWNERS CORP
1000657502,RC,7488,149160,,,182 GROUND LESSE LLC
1000660001,O9,49440,640000,,FEDERAL RESERVE BANK OF NEW YORK,FED RESERVE BK NY
1000670001,O3,59391,1073000,,,59 MAIDEN LANE ASSOCI
1000670023,O3,23382,558327,,,MAIDEN & NASSAU LLC
1000670030,M1,3423,3144,,JOHN STREET METHODIST CHURCH,JOHN STREET UNITED ME
1000670031,Z9,1684,0,,,MAIDEN & NASSAU LLC
1000680007,O2,10894,155450,,,AHRC NYC NEW PROJECT
1000680011,O2,14048,155026,,,"75 MAIDEN LANE,LLC"
1000680016,D9,7488,111184,,,84 WILLIAM STREET PRO
1000680028,HB,4636,71539,,,"NYC SERENADE, L.L.C."
1000680029,G6,2241,0,,,"FATB,"
1000680036,O3,18513,377120,,,JOHN HANCOCK LIFE INS
1000687501,RM,10237,149564,,,THE SOUTH STAR CONDOM
1000687502,RM,9642,121472,,,
1000690001,V1,6281,0,,,LAM PEARL STREET HOTE
1000690006,D8,16642,222000,,,211 PEARL LLC
1000690018,D8,24128,627330,,,2 GOLD LLC
1000690030,H3,9914,0,,,LAM PLATT STREET HOTE
1000690032,D7,11550,338463,,,116 FEE OWNER LLC
1000690050,Z9,923,4615,,,"MAZAL GROUP, A LIMITE"
1000690051,O1,8717,42480,,,MAZAL GROUP LLC
1000690053,O1,4618,17888,,,MAZAL GROUP LLC
1000690054,K4,830,2761,,,"FULTON SOLUTIONS, LLC"
1000697502,RM,14851,344914,,,90 JOHN STREET CONDO
1000700020,K5,1450,1450,,,GELLOS REALTY LLC
1000700032,O4,23555,453857,,,EO 180 WATER LLC
1000700043,O4,24092,481858,,,EO 160 WATER LLC
1000707501,RC,20329,255863,,,125 MAIDEN LANE CONDO
1000710001,D7,9026,52969,,,160 FRONT STREET ASSO
1000717501,RC,24121,462377,,,AMERICAN INTERNATIONA
1000720002,G6,4836,0,,,"FPG MAIDEN LANE, LLC"
1000720007,G6,6700,0,,,151 MAIDEN LLC
1000720012,H2,3020,0,,,SEAPORT HEIGHTS LLC
1000720013,L2,6552,58500,,,AMERICAN INTERNATIONA
1000720014,K9,2944,7835,South Street Seaport,,"SWH FRONT STREET,"
1000720019,G6,6143,0,South Street Seaport,,"167 FRONT PROPERTIES,"
1000720020,G6,1688,0,South Street Seaport,,"167 FRONT PROPERTIES,"
1000720025,K1,1082,424,South Street Seaport,,NYC MEDIA LLC
1000720027,D2,7618,52005,South Street Seaport,,83-85 SOUTH STREET LL
1000720031,O1,8149,47713,,,80 SOUTH REALTY ASSOC
1000720115,G6,1413,0,South Street Seaport,,"167 FRONT PROPERTIES,"
1000727501,RM,5082,20675,South Street Seaport,HICKSON W. FIELD STORES,SHIPS CHANDLERY CONDO
1000730002,T2,164325,164325,South Street Seaport,,DEPT OF SMALL BUSINES
1000730008,T2,146025,35691,South Street Seaport,,DEPT OF SMALL BUSINES
1000730010,K3,208475,331550,South Street Seaport,,SOUTH ST SEAPORT PTNR
1000730011,Y7,21475,21475,South Street Seaport,,DEPT OF SMALL BUSINES
1000730014,Y7,23350,23350,,,DEPT OF SMALL BUSINES
1000730017,T2,404450,30081,,,DEPT OF SMALL BUSINES
1000730028,V1,9650,0,,,DEPT OF SMALL BUSINES
1000730029,Y7,147775,23240,,,DEPT OF SMALL BUSINES
1000740001,K9,47539,125500,South Street Seaport,SCHERMERHORN ROW BLOCK,PARKS AND RECREATION
1000740020,Z9,22533,0,South Street Seaport,,HOUSING PRESERVATION
1000747501,RC,41656,744146,,,
1000750001,D8,33294,541000,,,200 WATER SPE L.L.C.
1000750008,K4,1070,3047,,,135 JOHN LLC
1000750009,K2,1075,1935,,,J & R REALTY GROUP LT
1000750021,O4,11828,234553,,,40 FULTON STREET LLC
1000750028,G6,4716,0,,,251 PEARL STREET LLC
1000750030,O3,31876,296076,,,PEARL STREET PARKINGC
1000750035,G6,15951,0,,,PEARL STREET PARKINGC
1000750043,C0,1690,6400,,,"YUEN, SO SAN"
1000750046,O9,2398,8700,,,"ROSEDALE EQUITIES, L."
1000750048,K4,2608,7824,,,212 MIDDLE NECK LLC
1000757501,RM,1600,7795,,,FIFTY FULTON ASSOCIAT
1000757502,RM,2096,6950,,,OWNER / AGENT
1000757503,RC,2560,16976,,,OWNER / AGENT
1000760001,O8,3663,40564,,,COUNTRY CLUB RECOVERY
1000760006,G1,8537,46968,,,TERM-FULTON REALTY CO
1000760007,O1,4782,21520,,,27 CLIFF STREET REALT
1000760008,O1,5815,21200,,,UNIFORMED SANITATIONM
1000760023,Z9,1368,0,,,HAROLD THURMAN
1000760024,D6,4575,62028,,,ZAHAV PROPERTIES LLC
1000760028,K9,4897,14691,,,76 FULTON ST LLC
1000767501,RM,10030,158477,,,15 CLIFF STREET CONDO
1000767502,RM,29668,388570,,,99 JOHN DECO LOFTS CO
1000770001,D7,12180,160000,,,HENRY 85
1000770008,O3,32511,788241,,,110 WILLIAM PROPERTY
1000770015,O9,12032,107124,,,LIGHTSTONE ACQUISITIO
1000770018,D9,2609,12500,,,136 WILLIAM STREET
1000770020,W6,5573,35674,,,"CRIKOS, LLC"
